starting_cube	final_cube	moves
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:5 1;1 5, L:4 3;6 2, F:2 4;4 3, R:3 2;5 4, B:6 6;2 5, D:3 1;1 6 ()	B1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:6 4;3 4, L:1 4;6 3, F:2 6;4 2, R:2 5;3 3, B:6 5;5 1, D:5 1;2 1 ()	F2 U B2
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:3 2;4 4, L:1 5;6 1, F:6 2;6 5, R:3 4;3 5, B:6 2;1 5, D:2 4;1 3 ()	L2 B1 R1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:6 4;1 5, L:1 3;6 2, F:2 4;4 3, R:3 5;5 1, B:6 5;6 2, D:3 1;4 2 ()	B2
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:4 2;5 6, L:6 4;3 4, F:3 5;3 3, R:1 4;1 6, B:6 5;2 1, D:2 2;5 1 ()	R L1
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:6 4;3 1, L:5 4;6 3, F:2 2;5 6, R:6 3;4 2, B:5 4;3 5, D:1 2;1 1 ()	L2 R1 B1
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:6 1;3 6, L:2 4;3 3, F:2 2;5 6, R:4 3;1 5, B:2 1;4 5, D:1 5;4 6 ()	L2 B
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:5 1;1 5, L:4 3;6 2, F:2 4;4 3, R:3 2;5 4, B:6 6;2 5, D:3 1;1 6 ()	B1
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:4 2;5 2, L:6 4;2 1, F:3 1;3 6, R:3 3;4 1, B:4 5;5 6, D:5 2;1 6 ()	B R1 L1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:2 5;1 2, L:1 3;5 2, F:2 4;4 5, R:6 1;3 5, B:6 6;1 6, D:3 4;4 3 ()	R1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:5 1;1 5, L:4 3;6 2, F:2 4;4 3, R:3 2;5 4, B:6 6;2 5, D:3 1;1 6 ()	B1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:4 5;2 1, L:2 6;5 2, F:1 3;4 3, R:2 4;5 1, B:3 6;5 6, D:3 1;4 6 ()	U1
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:3 5;4 4, L:2 3;4 2, F:2 2;6 1, R:6 1;6 6, B:3 1;4 5, D:1 5;3 5 ()	U1
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:5 4;3 4, L:3 1;6 6, F:2 3;4 5, R:2 2;4 2, B:6 1;6 1, D:5 3;5 1 ()	U2 D2
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:6 1;1 3, L:4 5;2 3, F:3 4;4 2, R:2 6;3 4, B:5 2;6 6, D:5 1;1 5 ()	F2 B
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:2 6;1 5, L:1 5;4 4, F:3 6;5 6, R:4 2;1 1, B:4 6;2 2, D:3 5;3 3 ()	U1
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:4 4;4 2, L:2 2;4 2, F:6 3;6 5, R:1 6;3 6, B:5 3;5 5, D:1 1;3 1 ()	R1
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:2 4;4 5, L:3 2;1 5, F:3 4;4 3, R:3 6;5 1, B:2 1;5 2, D:6 1;6 6 ()	L1
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:1 6;4 5, L:3 2;4 2, F:6 1;6 1, R:3 5;6 3, B:4 2;5 3, D:1 5;2 4 ()	B
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:3 6;4 6, L:5 2;3 4, F:3 5;5 6, R:1 4;2 2, B:5 1;6 2, D:3 1;1 4 ()	B1 U1 R
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:5 3;3 5, L:4 2;2 2, F:4 1;4 1, R:3 1;6 6, B:2 3;4 1, D:6 5;6 5 ()	L
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:3 2;1 4, L:4 3;1 5, F:2 2;4 2, R:3 6;6 3, B:1 5;5 6, D:6 4;5 1 ()	L2 D2 F
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:1 6;4 5, L:3 2;4 2, F:6 1;6 1, R:3 5;6 3, B:4 2;5 3, D:1 5;2 4 ()	B
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:3 1;4 2, L:2 6;3 1, F:2 6;5 6, R:1 5;5 3, B:3 4;4 2, D:6 4;1 5 ()	F2 U2 D2
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:6 4;6 5, L:5 1;2 3, F:2 4;1 3, R:3 6;5 1, B:2 4;5 3, D:2 1;4 6 ()	L
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:4 6;2 1, L:2 1;1 3, F:3 5;4 3, R:3 4;2 1, B:5 6;5 2, D:5 4;6 6 ()	L1 F2 U1
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U:4 3;5 6, L:3 6;1 2, F:4 2;1 2, R:4 1;3 4, B:5 2;5 6, D:6 1;5 3 ()	B1 D2
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:6 4;2 3, L:1 3;6 1, F:4 2;3 4, R:1 5;5 1, B:6 5;6 2, D:5 3;4 2 ()	B2 F
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U:2 4;4 3, L:3 2;1 5, F:3 1;4 6, R:5 3;1 6, B:5 1;4 2, D:6 5;6 2 ()	L1 R
U:4 3;4 5, L:2 2;4 2, F:6 1;6 1, R:3 1;6 6, B:2 3;4 5, D:1 5;3 5	U:3 2;5 3, L:2 6;4 3, F:1 2;1 1, R:4 6;2 6, B:4 1;4 5, D:5 6;3 5 ()	F U1 F
