starting_cube	num_moves	example_ref
U:1 3;1 3, L:2 2;2 2, F:3 6;3 6, R:4 4;4 4, B:1 5;1 5, D:6 5;6 5	1	L1
U:1 4;2 5, L:2 6;2 5, F:3 1;6 1, R:4 3;4 1, B:6 5;3 5, D:4 3;6 2	3	L2 F1 U1
U:5 6;5 2, L:1 1;2 2, F:4 5;1 5, R:6 4;6 4, B:3 2;3 6, D:3 4;3 1	2	L F1
U:1 1;1 1, L:2 2;4 4, F:3 3;5 5, R:4 4;2 2, B:5 5;3 3, D:6 6;6 6	1	U2
U:5 1;4 3, L:2 1;6 1, F:3 2;3 1, R:6 4;2 4, B:5 6;5 4, D:2 5;3 6	4	B1 F1 U1 F1
U:6 1;6 1, L:2 2;2 2, F:5 3;5 3, R:4 4;4 4, B:5 3;5 3, D:1 6;1 6	1	L2
U:1 1;2 4, L:4 1;2 1, F:5 3;5 3, R:6 2;6 4, B:3 3;5 5, D:4 2;6 6	2	F U2
U:1 1;6 6, L:2 4;2 4, F:3 3;3 3, R:2 4;2 4, B:5 5;5 5, D:1 1;6 6	1	F2
U:1 6;1 6, L:4 4;2 3, F:5 4;2 2, R:3 3;5 4, B:2 3;5 5, D:1 1;6 6	3	D L2 U
U:1 1;1 1, L:5 5;2 2, F:2 2;3 3, R:3 3;4 4, B:4 4;5 5, D:6 6;6 6	1	U
U:4 6;1 2, L:1 2;1 2, F:3 5;3 5, R:6 4;6 4, B:3 5;3 5, D:6 4;2 1	2	L2 F1
U:1 1;1 1, L:2 2;3 3, F:3 3;4 4, R:4 4;5 5, B:5 5;2 2, D:6 6;6 6	1	U
U:5 1;3 1, L:4 2;6 3, F:6 5;4 4, R:2 2;5 1, B:3 1;4 2, D:6 6;5 3	3	U F L2
U:2 5;1 5, L:6 2;6 2, F:3 2;3 1, R:1 1;4 4, B:4 5;6 5, D:6 3;4 3	2	L U
U:4 4;2 2, L:6 6;4 4, F:3 3;5 5, R:1 1;2 2, B:3 3;5 5, D:6 6;1 1	3	F2 U2 F1
U:1 1;1 1, L:3 3;5 5, F:4 4;2 2, R:5 5;3 3, B:2 2;4 4, D:6 6;6 6	1	U2
U:1 1;4 4, L:2 1;2 1, F:3 3;3 3, R:6 4;6 4, B:5 5;5 5, D:2 2;6 6	1	F
U:6 1;6 1, L:2 2;2 2, F:5 3;5 3, R:4 4;4 4, B:5 3;5 3, D:1 6;1 6	1	L2
U:1 5;1 5, L:2 2;3 1, F:3 1;4 4, R:4 4;6 5, B:6 5;2 2, D:3 3;6 6	2	U F
U:3 1;3 1, L:2 2;2 2, F:6 3;6 3, R:4 4;4 4, B:5 1;5 1, D:5 6;5 6	1	L
U:3 1;4 1, L:2 3;2 3, F:6 3;6 4, R:4 4;5 5, B:5 1;2 1, D:2 6;5 6	2	L U
U:1 6;4 4, L:2 6;2 1, F:5 5;3 3, R:1 4;6 4, B:3 5;3 5, D:2 2;6 1	2	F L2
U:6 6;6 6, L:3 3;2 2, F:2 2;5 5, R:5 5;4 4, B:4 4;3 3, D:1 1;1 1	1	U
U:1 1;1 1, L:2 2;3 3, F:3 3;4 4, R:4 4;5 5, B:5 5;2 2, D:6 6;6 6	1	U
U:1 1;6 6, L:3 2;4 5, F:5 5;4 4, R:4 5;3 2, B:2 2;3 3, D:1 1;6 6	2	F2 U
U:6 6;6 6, L:4 4;2 2, F:3 3;5 5, R:2 2;4 4, B:5 5;3 3, D:1 1;1 1	1	U2
U:3 1;4 1, L:2 3;2 3, F:6 3;6 4, R:4 4;5 5, B:5 1;2 1, D:2 6;5 6	2	L U
U:6 3;6 3, L:2 2;2 2, F:5 6;5 6, R:4 4;4 4, B:1 3;1 3, D:1 5;1 5	1	L
U:1 6;1 6, L:2 2;2 2, F:3 5;3 5, R:4 4;4 4, B:3 5;3 5, D:6 1;6 1	1	L2
U:1 1;5 2, L:2 6;5 6, F:2 3;2 3, R:1 4;1 3, B:5 5;4 4, D:3 4;6 6	2	F1 U1