starting_cube	moves	result_cube
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B	U:6 1;1 5, L:4 3;2 2, F:2 4;4 3, R:3 6;5 4, B:5 2;6 6, D:3 1;1 5 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B1	U:5 1;1 5, L:4 3;6 2, F:2 4;4 3, R:3 2;5 4, B:6 6;2 5, D:3 1;1 6 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B2	U:6 4;1 5, L:1 3;6 2, F:2 4;4 3, R:3 5;5 1, B:6 5;6 2, D:3 1;4 2 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	L2 B	U:6 1;4 5, L:4 5;3 1, F:6 4;6 3, R:3 6;5 1, B:5 2;2 4, D:2 1;2 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	D2 F2	U:2 4;4 6, L:1 5;5 3, F:6 5;4 2, R:1 6;3 2, B:2 6;4 3, D:5 1;1 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U R	U:1 6;5 3, L:2 4;5 2, F:3 1;4 6, R:5 2;1 6, B:4 3;2 6, D:3 5;4 1 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	L2 D	U:3 4;4 5, L:2 5;5 2, F:6 4;3 1, R:3 6;6 3, B:2 4;5 1, D:1 2;6 1 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	R B2	U:2 4;1 3, L:6 3;3 2, F:2 1;4 6, R:5 5;1 1, B:6 4;6 5, D:3 5;4 2 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	R1 F	U:2 5;2 3, L:1 3;5 4, F:4 2;5 4, R:1 1;2 5, B:6 6;1 6, D:3 6;4 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	F2 U1	U:4 3;2 1, L:2 6;5 3, F:1 5;4 2, R:3 4;3 1, B:2 6;5 6, D:5 1;4 6 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	F D2	U:2 4;2 3, L:1 3;5 1, F:4 2;5 6, R:1 6;5 1, B:2 6;3 4, D:6 4;3 5 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	R1 U1	U:5 2;2 1, L:6 6;5 2, F:1 3;4 5, R:2 4;3 5, B:6 1;1 6, D:3 4;4 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U1 R1	U:4 5;2 3, L:2 6;5 2, F:1 5;4 1, R:4 1;2 5, B:6 6;1 6, D:3 3;4 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U1 R2	U:4 1;2 6, L:2 6;5 2, F:1 5;4 3, R:1 5;4 2, B:3 6;3 6, D:3 5;4 1 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	D R	U:2 4;1 2, L:1 3;5 6, F:2 3;5 1, R:4 3;3 6, B:5 6;4 1, D:4 5;6 2 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U R1 F1	U:1 5;6 2, L:2 1;5 5, F:2 4;3 4, R:6 1;3 5, B:6 3;1 6, D:4 2;4 3 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	R U1 B1	U:5 5;2 1, L:4 6;2 2, F:1 3;4 6, R:2 4;1 3, B:3 6;5 4, D:3 5;6 1 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	R B U	U:1 3;3 6, L:2 1;2 2, F:5 2;4 6, R:4 5;1 4, B:4 3;6 6, D:3 5;1 5 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B1 D1 F1	U:5 1;3 2, L:4 5;4 1, F:4 4;2 5, R:6 2;1 5, B:6 6;6 2, D:3 3;3 1 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	L2 D R2	U:3 2;4 1, L:2 5;5 2, F:6 5;3 2, R:3 6;6 3, B:1 4;4 1, D:1 4;6 5 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U L1 D2	U:3 2;4 4, L:4 2;5 1, F:3 6;5 1, R:2 6;2 5, B:1 5;4 3, D:6 3;1 6 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	U F1 D	U:1 2;2 5, L:2 4;5 6, F:6 3;5 5, R:1 6;3 4, B:1 3;3 1, D:4 4;6 2 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B2 R1 B	U:1 5;1 6, L:6 3;6 2, F:2 4;4 5, R:5 3;3 4, B:1 2;2 5, D:3 4;1 6 ()
U:2 4;1 5, L:1 3;5 2, F:2 4;4 3, R:3 6;5 1, B:2 6;5 6, D:3 1;4 6	B D L	U:4 1;2 5, L:6 4;6 3, F:6 4;1 2, R:3 6;4 3, B:5 5;5 1, D:2 3;2 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U	U:5 1;6 2, L:4 2;4 4, F:4 6;5 6, R:1 5;1 1, B:3 6;2 2, D:3 5;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U1	U:2 6;1 5, L:1 5;4 4, F:3 6;5 6, R:4 2;1 1, B:4 6;2 2, D:3 5;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U2	U:6 5;2 1, L:4 6;4 4, F:1 5;5 6, R:3 6;1 1, B:4 2;2 2, D:3 5;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D	U:1 2;5 6, L:3 6;2 2, F:4 2;4 4, R:4 6;5 6, B:1 5;1 1, D:3 3;3 5 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D1	U:1 2;5 6, L:3 6;5 6, F:4 2;1 1, R:4 6;2 2, B:1 5;4 4, D:5 3;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2	U:1 2;5 6, L:3 6;1 1, F:4 2;2 2, R:4 6;4 4, B:1 5;5 6, D:3 3;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	L	U:2 2;5 6, L:4 3;4 6, F:1 2;5 6, R:4 6;1 1, B:1 3;2 3, D:4 5;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	L1	U:4 2;5 6, L:6 4;3 4, F:3 2;3 6, R:4 6;1 1, B:1 5;2 1, D:2 5;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	L2	U:3 2;3 6, L:4 4;6 3, F:2 2;5 6, R:4 6;1 1, B:1 5;2 4, D:1 5;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R	U:1 2;5 6, L:3 6;4 4, F:4 5;5 3, R:1 4;1 6, B:6 5;2 2, D:3 2;3 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R1	U:1 2;5 1, L:3 6;4 4, F:4 2;5 6, R:6 1;4 1, B:3 5;5 2, D:3 2;3 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R2	U:1 5;5 3, L:3 6;4 4, F:4 2;5 1, R:1 1;6 4, B:6 5;2 2, D:3 2;3 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F	U:1 2;4 6, L:3 3;4 5, F:5 4;6 2, R:5 6;6 1, B:1 5;2 2, D:1 4;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F1	U:1 2;4 1, L:3 6;4 5, F:2 6;4 5, R:5 6;3 1, B:1 5;2 2, D:6 4;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F2	U:1 2;5 3, L:3 1;4 4, F:6 5;2 4, R:4 6;6 1, B:1 5;2 2, D:6 5;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B	U:6 1;5 6, L:2 6;1 4, F:4 2;5 6, R:4 3;1 3, B:2 1;2 5, D:3 5;3 4 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B1	U:4 3;5 6, L:3 6;3 4, F:4 2;5 6, R:4 1;1 2, B:5 2;1 2, D:3 5;1 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B2	U:3 3;5 6, L:1 6;6 4, F:4 2;5 6, R:4 4;1 3, B:2 2;5 1, D:3 5;2 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F1 D1	U:1 2;4 1, L:3 6;4 5, F:2 6;3 1, R:5 6;2 2, B:1 5;4 5, D:4 3;6 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2 L	U:6 2;5 6, L:1 3;1 6, F:1 2;5 2, R:4 6;4 4, B:1 5;5 3, D:4 3;2 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B2 U	U:5 3;6 3, L:4 2;6 4, F:4 4;5 6, R:2 2;1 3, B:1 6;5 1, D:3 5;2 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F L1	U:5 2;6 6, L:3 5;3 4, F:1 4;3 2, R:5 6;6 1, B:1 4;2 1, D:2 4;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U1 L1	U:3 6;5 5, L:5 4;1 4, F:3 6;3 6, R:4 2;1 1, B:4 1;2 2, D:2 5;6 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R D1	U:1 2;5 6, L:3 6;5 3, F:4 5;1 6, R:1 4;2 2, B:6 5;4 4, D:2 1;3 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2 L1	U:4 2;2 6, L:6 1;3 1, F:3 2;5 2, R:4 6;4 4, B:1 5;5 1, D:6 3;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R U	U:5 1;6 2, L:4 5;4 4, F:1 4;5 3, R:6 5;1 6, B:3 6;2 2, D:3 2;3 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U2 B2	U:3 3;2 1, L:1 6;6 4, F:1 5;5 6, R:3 4;1 4, B:2 2;2 4, D:3 5;5 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F D B1	U:2 3;4 6, L:3 3;4 2, F:5 4;4 5, R:5 1;6 2, B:5 1;1 6, D:3 1;2 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R F1 D1	U:1 2;1 1, L:3 6;4 5, F:5 3;3 6, R:2 4;2 2, B:6 5;4 5, D:4 1;6 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R1 U1 L	U:2 1;1 5, L:4 3;4 5, F:2 6;1 6, R:4 2;4 1, B:6 3;5 3, D:3 2;5 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B D1 B1	U:5 2;5 6, L:3 6;3 6, F:4 2;1 3, R:4 6;2 1, B:1 4;2 1, D:5 4;5 3 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	B2 L F	U:1 3;6 1, L:6 4;4 5, F:5 3;6 2, R:2 4;6 3, B:2 2;5 3, D:1 4;5 1 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	D2 R1 D	U:1 5;5 1, L:3 6;3 6, F:4 2;1 1, R:6 4;2 6, B:3 5;4 4, D:5 3;2 2 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	U1 F R1	U:2 2;4 4, L:1 3;4 5, F:5 6;6 5, R:2 1;1 5, B:3 6;4 2, D:1 3;3 6 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	R D1 B	U:4 2;5 6, L:2 6;1 3, F:4 5;1 6, R:1 3;2 3, B:4 6;4 5, D:2 1;3 5 ()
U: 1 2;5 6, L: 3 6;4 4, F: 4 2;5 6, R: 4 6;1 1, B: 1 5;2 2, D:3 5;3 3	F2 R F2	U:1 5;2 6, L:3 1;4 6, F:3 2;5 6, R:4 4;1 6, B:3 5;2 2, D:4 5;3 1 ()
